"[reporter]","il0","il1","il2","il3","il4","il5","count people with [dead]","il0","il1","il2","il3","il4","il5","count people with [dead]","il0","il1","il2","il3","il4","il5","count people with [dead]","il0","il1","il2","il3","il4","il5","count people with [dead]","il0","il1","il2","il3","il4","il5","count people with [dead]","il0","il1","il2","il3","il4","il5","count people with [dead]","il0","il1","il2","il3","il4","il5","count people with [dead]","il0","il1","il2","il3","il4","il5","count people with [dead]","il0","il1","il2","il3","il4","il5","count people with [dead]","il0","il1","il2","il3","il4","il5","count people with [dead]"
,"13807","3055","186","40","22","0","0","13807","3055","186","40","22","0","0","13807","3055","186","40","22","0","0","13807","3055","186","40","22","0","0","13807","3055","186","40","22","0","0","13807","3055","186","40","22","0","0","13807","3055","186","40","22","0","0","13807","3055","186","40","22","0","0","13807","3055","186","40","22","0","0","13807","3055","186","40","22","0","0"
,"13943","3122","191","40","22","0","0","13943","3122","191","40","22","0","0","13943","3122","191","40","22","0","0","13943","3122","191","40","22","0","0","13943","3122","191","40","22","0","0","13943","3122","191","40","22","0","0","13943","3122","191","40","22","0","0","13943","3122","191","40","22","0","0","13943","3122","191","40","22","0","0","13943","3122","191","40","22","0","0"
,"14077","3197","195","44","22","0","0","14077","3197","195","44","22","0","0","14077","3197","195","44","22","0","0","14077","3197","195","44","22","0","0","14077","3197","195","44","22","0","0","14077","3197","195","44","22","0","0","14077","3197","195","44","22","0","0","14077","3197","195","44","22","0","0","14077","3197","195","44","22","0","0","14077","3197","195","44","22","0","0"
,"14224","3263","198","44","22","0","0","14224","3263","198","44","22","0","0","14224","3263","198","44","22","0","0","14224","3263","198","44","22","0","0","14224","3263","198","44","22","0","0","14224","3263","198","44","22","0","0","14224","3263","198","44","22","0","0","14224","3263","198","44","22","0","0","14224","3263","198","44","22","0","0","14224","3263","198","44","22","0","0"
,"14324","3326","202","45","22","0","0","14324","3326","202","45","22","0","0","14324","3326","202","45","22","0","0","14324","3326","202","45","22","0","0","14324","3326","202","45","22","0","0","14324","3326","202","45","22","0","0","14324","3326","202","45","22","0","0","14324","3326","202","45","22","0","0","14324","3326","202","45","22","0","0","14324","3326","202","45","22","0","0"
,"14447","3403","207","45","22","0","0","14447","3403","207","45","22","0","0","14447","3403","207","45","22","0","0","14447","3403","207","45","22","0","0","14447","3403","207","45","22","0","0","14447","3403","207","45","22","0","0","14447","3403","207","45","22","0","0","14447","3403","207","45","22","0","0","14447","3403","207","45","22","0","0","14447","3403","207","45","22","0","0"
,"14573","3474","212","46","22","0","0","14573","3474","212","46","22","0","0","14573","3474","212","46","22","0","0","14573","3474","212","46","22","0","0","14573","3474","212","46","22","0","0","14573","3474","212","46","22","0","0","14573","3474","212","46","22","0","0","14573","3474","212","46","22","0","0","14573","3474","212","46","22","0","0","14573","3474","212","46","22","0","0"
,"14681","3559","217","46","22","0","0","14681","3559","217","46","22","0","0","14681","3559","217","46","22","0","0","14681","3559","217","46","22","0","0","14681","3559","217","46","22","0","0","14681","3559","217","46","22","0","0","14681","3559","217","46","22","0","0","14681","3559","217","46","22","0","0","14681","3559","217","46","22","0","0","14681","3559","217","46","22","0","0"
,"14784","3643","223","46","22","0","0","14784","3643","223","46","22","0","0","14784","3643","223","46","22","0","0","14784","3643","223","46","22","0","0","14784","3643","223","46","22","0","0","14784","3643","223","46","22","0","0","14784","3643","223","46","22","0","0","14784","3643","223","46","22","0","0","14784","3643","223","46","22","0","0","14784","3643","223","46","22","0","0"
,"14906","3725","232","46","22","0","0","14906","3725","232","46","22","0","0","14906","3725","232","46","22","0","0","14906","3725","232","46","22","0","0","14906","3725","232","46","22","0","0","14906","3725","232","46","22","0","0","14906","3725","232","46","22","0","0","14906","3725","232","46","22","0","0","14906","3725","232","46","22","0","0","14906","3725","232","46","22","0","0"
,"15023","3816","238","46","22","0","0","15023","3816","238","46","22","0","0","15023","3816","238","46","22","0","0","15023","3816","238","46","22","0","0","15023","3816","238","46","22","0","0","15023","3816","238","46","22","0","0","15023","3816","238","46","22","0","0","15023","3816","238","46","22","0","0","15023","3816","238","46","22","0","0","15023","3816","238","46","22","0","0"
,"15133","3889","247","47","22","0","0","15133","3889","247","47","22","0","0","15133","3889","247","47","22","0","0","15133","3889","247","47","22","0","0","15133","3889","247","47","22","0","0","15133","3889","247","47","22","0","0","15133","3889","247","47","22","0","0","15133","3889","247","47","22","0","0","15133","3889","247","47","22","0","0","15133","3889","247","47","22","0","0"
,"15234","3953","257","47","22","0","0","15234","3953","257","47","22","0","0","15234","3953","257","47","22","0","0","15234","3953","257","47","22","0","0","15234","3953","257","47","22","0","0","15234","3953","257","47","22","0","0","15234","3953","257","47","22","0","0","15234","3953","257","47","22","0","0","15234","3953","257","47","22","0","0","15234","3953","257","47","22","0","0"
,"15367","4029","259","47","22","0","0","15367","4029","259","47","22","0","0","15367","4029","259","47","22","0","0","15367","4029","259","47","22","0","0","15367","4029","259","47","22","0","0","15367","4029","259","47","22","0","0","15367","4029","259","47","22","0","0","15367","4029","259","47","22","0","0","15367","4029","259","47","22","0","0","15367","4029","259","47","22","0","0"
